person_id,chat_id,date,date_unixtime,org_txt,reply_to_message_id,text,channel_name
user956857432,361027,2023-04-15T00:38:55,1681506535,"درود هموطن با نخریدن خودرو و دوری از معاملات خودور به این دو حلبی ساز که تمام ارکان وزارت بی کفایت و دیگر مافیا تمام قد پشت آن ایستاده اند ثابت کنیم که ما ملت ایران حاضر به استفاده آهن پاره های شما به قیمت خودرو های روز دنیا نیستیم پیروز پاینده باشید
",,درود هموطن با نخریدن <خودرو> و دوری از معاملات خودور به این دو حلبی ساز که تمام ارکان وزارت بی‌کفایت و دیگر مافیا تمام قد پشت آن ایستاده‌اند ثابت کنیم که ما <ملت> ایران حاضر به استفاده آهن پاره‌های شما به قیمت خودرو‌های روز دنیا نیستیم پیروز پاینده باشید,گروه هزار تحلیل
channel1247075296,361043,2023-04-15T10:04:39,1681540479,"بورس کالا پیشنهاد افزایش سرمایه از دو محل سود انباشته و اندوخته داد
بورس کالا از پیشنهاد هیات مدیره مبنی بر افزایش سرمایه ۶۴ درصدی از دو محل سود انباشته و اندوخته خبر داد.
🔹به گزارش پایگاه خبری بورس پرس، بورس کالا از برنامه افزایش سرمایه 64 درصدی از دو محل سود انباشته و اندوخته خبر داد.
🔹بر اساس این گزارش، ""کالا"" در نظر دارد سرمایه فعلی را از 830 میلیارد به 1.36 هزار میلیارد تومان برساند. تامین مالی این شرکت در صورت موافقت از دو محل سود انباشته و سایر اندوخته ها به منظور الزام اجرای مصوبه هیات مدیره سازمان بورس اعمال خواهد شد


",,"<بورس> <کالا> پیشنهاد افزایش سرمایه از دو محل سود انباشته و اندوخته داد
<بورس> <کالا> از پیشنهاد هیات مدیره مبنی بر افزایش سرمایه 64 درصدی از دو محل سود انباشته و اندوخته خبر داد .
 به گزارش پایگاه خبری <بورس> پرس ، <بورس> <کالا> از برنامه افزایش سرمایه 64 درصدی از دو محل سود انباشته و اندوخته خبر داد .
 بر اساس این گزارش ، "" <کالا> "" در نظر دارد سرمایه فعلی را از 830 میلیارد به 1.36 هزار میلیارد تومان برساند . تامین مالی این شرکت در صورت موافقت از دو محل سود انباشته و سایر اندوخته‌ها به منظور الزام اجرای مصوبه هیات مدیره سازمان <بورس> اعمال خواهد شد",گروه هزار تحلیل
user164684213,361050,2023-04-15T11:56:44,1681547204,"خودرو و خساپا به احتمال زیاد صف خرید بشند قابل بررسی، اگر صف خرید شدند هدف سقف سال ۹۹
",,<خودرو> و <خساپا> به احتمال زیاد صف خرید بشند قابل بررسی ، اگر صف خرید شدند هدف سقف سال 99,گروه هزار تحلیل
user164684213,361051,2023-04-15T11:57:46,1681547266,"از فراکاب ها بورس هم وضعیت خوبی داره مدتی درجا زده ، اینم بررسی کنید
",,از فراکاب‌ها <بورس> هم وضعیت خوبی داره مدتی درجا زده ، اینم بررسی کنید,گروه هزار تحلیل
user164684213,361052,2023-04-16T07:36:10,1681617970,"وخارزم در حال شکستن مقاومت ، هدف بالاست. بررسی
",,<وخارزم> در حال شکستن مقاومت ، هدف بالاست . بررسی,گروه هزار تحلیل
user164684213,361053,2023-04-15T12:11:31,1681548091,"بورس صف خرید قدرتمند
",,<بورس> صف خرید قدرتمند,گروه هزار تحلیل
user164684213,361054,2023-04-15T12:18:35,1681548515,"کندل های وخارزم نشان از صف خرید میدند بررسی مجدد
",,کندل‌های <وخارزم> نشان از صف خرید میدند بررسی مجدد,گروه هزار تحلیل
user164684213,361055,2023-04-15T12:30:38,1681549238,"وتجارت و وخارزم هم صف خرید فردا حوالی صف خرید امروز
",,<وتجارت> و <وخارزم> هم صف خرید فردا حوالی صف خرید امروز,گروه هزار تحلیل
user1075476350,361058,2023-04-15T13:59:53,1681554593,"سلام من پول قابل توجهی تو بورس ندارم ولی این رشد غیر طبیعی است  سال ۹۹یه مثال همه میزنند که شما اگر زمینی بخری هر روز میری بهش سر میزنی ما هم خریدیم  بعداز ۳سال ضرر فروختم حواستون باشه این که هرروز داره ۷ درصد سهامتون رشد میکنه  حد سود و زیان  در نظر بگیرید
",,سلام من پول قابل‌توجهی تو <بورس> ندارم ولی این رشد غیر طبیعی است سال 99یه مثال همه میزنند که شما اگر زمینی بخری هر روز میری بهش سر میزنی ما هم خریدیم بعداز 3سال ضرر فروختم حواستون باشه این که هرروز داره 7 درصد سهامتون رشد میکنه حد سود و زیان در نظر بگیرید,گروه هزار تحلیل
channel1247075296,361061,2023-04-15T18:45:04,1681571704,"رکورد حقیقی‌ها در سبزترین روز بورس ۱۴۰۲
▪️امروز سبزترین روز بورس ۱۴۰۲ رقم خورد و همزمان با آن سهامداران خرد با ثبت خالص خرید ۲۳۴۶ میلیارد تومانی، دومین خرید پرمقدار از ریزش ۹۹ را رقم زدند که بیشترین ورود پول این دسته از معامله‌گران از شهریورماه ۹۹ نیز محسوب می‌شد.


",,"رکورد حقیقی‌ها در سبزترین روز <بورس> 1402
امروز سبزترین روز <بورس> 1402 رقم خورد و همزمان با آن سهامداران خرد با ثبت خالص خرید 2346 میلیارد تومانی ، دومین خرید پرمقدار از ریزش 99 را رقم زدند که بیش‌ترین ورود پول این دسته از معامله‌گران از شهریورماه 99 نیز محسوب می‌شد .",گروه هزار تحلیل
user164684213,361062,2023-04-15T20:30:44,1681578044,"زمزمه عرضه خودرو در بورس کالا بالا گرفت ظاهرا همه دستگاه هاموافقت کردند. چون خودرو سازها اعتراض کردن با این قیمت های اعلام شده نمی‌توانند تولید را افزایش دهند. احتمال زیاد موافقت با عرضه تولیداتشان در بورس کالا تا حداکثر40درصد تولیداتشان است.
",,زمزمه عرضه <خودرو> در <بورس> <کالا> بالا گرفت ظاهرا همه دستگاه هاموافقت کردند . چون <خودرو> سازها اعتراض کردن با این قیمت‌های اعلام‌شده‌نمی‌توانند تولید را افزایش دهند . احتمال زیاد موافقت با عرضه تولیداتشان در <بورس> <کالا> تا حداکثر40درصد تولیداتشان است .,گروه هزار تحلیل
user956857432,361071,2023-04-16T07:36:35,1681617995,"درود هموطن قبل از هر مطلبی یک احوال پرسی از دلال ها و مافیا انجام بدهیم برای همکاری با وزارت بی کفایت و دو شرکت خودرو ساز که با استفاده از تریبون دروغگویی به این شکل بازار خودرو و افکار ملت را مهندسی میکنن هموطن اخبار حاکی از آن هست که بازار خودرو با شوک مواجه شده و قیمت ها در این هفته میلیون ها بالا رفته قبل از هر گونه تولید خودرو و یا واگذاری این اگر اسمش دزدی و فساد در اقتصاد و دزدی از جیب مردم نیست پس چه چیزی هست وقتی حرف از اتحاد نخریدن هست منظور بازار امروزه که اینطور داره جولان میده بدست چه کسی کاملا مشخصه خود خودرو ساز و دلالها و مفسدان و وزارت خونه و غیره هموطن هوشیار باش هموطن متحد باش هموطن با تحریم نخریدن خودرو و انتشار این اتحاد پیروزی برای ملت است شاد و پیروز باشید
",,درود هموطن قبل از هر مطلبی یک احوال پرسی از دلال‌ها و مافیا انجام بدهیم برای همکاری با وزارت بی‌کفایت و دو شرکت <خودرو> ساز که با استفاده از تریبون دروغگویی به این شکل بازار <خودرو> و افکار <ملت> را مهندسی میکنن هموطن اخبار حاکی از آن هست که بازار <خودرو> با شوک مواجه‌شده‌و قیمت‌ها در این هفته میلیون‌ها بالا رفته قبل از هر گونه تولید <خودرو> و یا واگذاری این اگر اسمش دزدی و فساد در اقتصاد و دزدی از جیب مردم نیست پس چه چیزی هست وقتی حرف از اتحاد نخریدن هست منظور بازار امروزه که اینطور داره جولان میده بدست چه کسی کاملا مشخصه خود <خودرو> ساز و دلالها و مفسدان و وزارت خونه و غیره هموطن هوشیار باش هموطن متحد باش هموطن با تحریم نخریدن <خودرو> و انتشار این اتحاد پیروزی برای <ملت> است شاد و پیروز باشید,گروه هزار تحلیل
channel1247075296,361080,2023-04-16T11:21:19,1681631479,"برنامه افزایش سرمایه ۴۰۰ درصدی شرکت حمل و نقلی از محل مطالبات و آورده
شرکت مهندسی حمل و نقل پتروشیمی از برنامه افزایش سرمایه ۴۰۰ درصدی از محل مطالبات سهامداران و آورده نقدی خبر داد.
🔹به گزارش پایگاه خبری بورس پرس، شرکت مهندسی حمل و نقل پتروشیمی از برنامه افزایش سرمایه 400 درصدی از محل مطالبات سهامداران و آورده نقدی خبر داد.
🔹بر اساس این گزارش، ""حپترو"" در نظر دارد سرمایه فعلی را 20 به 100 میلیارد تومان برساند. تامین مالی این شرکت بورسی از محل مطالبات سهامداران و آورده نقدی به منظور اصلاح ساختار مالی و خرید تجهیزات اعمال خواهد شد.


",,"برنامه افزایش سرمایه 400 درصدی شرکت حمل و نقلی از محل مطالبات و آورده
شرکت مهندسی حمل‌ونقل پتروشیمی از برنامه افزایش سرمایه 400 درصدی از محل مطالبات سهامداران و آورده نقدی خبر داد .
 به گزارش پایگاه خبری <بورس> پرس ، شرکت مهندسی حمل‌ونقل پتروشیمی از برنامه افزایش سرمایه 400 درصدی از محل مطالبات سهامداران و آورده نقدی خبر داد .
 بر اساس این گزارش ، "" <حپترو> "" در نظر دارد سرمایه فعلی را 20 به 100 میلیارد تومان برساند . تامین مالی این شرکت بورسی از محل مطالبات سهامداران و آورده نقدی به منظور اصلاح ساختار مالی و خرید تجهیزات اعمال خواهد شد .",گروه هزار تحلیل
channel1247075296,361083,2023-04-16T16:13:08,1681648988,"وضعیت بازار در این لحظه
🔳
ارزش معاملات :
▫️ 124 هزار و 500 میلیارد ریال 
🔳
بیشترین حجم معاملات :
▫️ شستا      1،177    میلیون سهم 
▫️ خساپا     882        میلیون سهم  
▫️ خاور       859        میلیون سهم
▫️ دی         718        میلیون سهم
▫️ خودرو    706        میلیون سهم


",,"وضعیت بازار در این لحظه

ارزش معاملات :
 124 هزار و 500 میلیارد ریال 

بیشترین حجم معاملات :
 <شستا> 1 ، 177 میلیون سهم 
 <خساپا> 882 میلیون سهم 
 <خاور> 859 میلیون سهم
 دی 718 میلیون سهم
 <خودرو> 706 میلیون سهم",گروه هزار تحلیل
channel1247075296,361086,2023-04-16T17:09:11,1681652351,"نقشه بازار گروه خودرو و قطعات


",,نقشه بازار گروه <خودرو> و قطعات,گروه هزار تحلیل
channel1247075296,361088,2023-04-16T17:09:16,1681652356,"سید رضا فاطمی‌امین، وزیر صنعت، معدن و تجارت
▪️از امروز فرآیند تحویل خودرو آغاز و امیدواریم در هفته جاری تحویل خودرو آغاز شود
▪️از ۱۶ اردیبهشت ماه ثبت‌نام دور دوم خرید خودرو آغاز خواهد شد
▪️در نیمه دوم سال فروش اقساطی خودرو را خواهیم داشت


",,"سید رضا فاطمی‌امین ، وزیر صنعت ، معدن و تجارت
از امروز فرآیند تحویل <خودرو> آغاز و امیدواریم در هفته جاری تحویل <خودرو> آغاز شود
از 16 اردیبهشت ماه ثبت‌نام دور دوم خرید <خودرو> آغاز خواهد شد
در نیمه دوم سال فروش اقساطی <خودرو> را خواهیم داشت",گروه هزار تحلیل
channel1247075296,361092,2023-04-16T15:12:34,1681645354,"قیمت روز خودروهای سایپا ، ایران خودرو / 27 فروردین 1402



",,قیمت روز خودروهای سایپا ، ایران <خودرو> / 27 فروردین 1402,گروه هزار تحلیل
user66948699,361097,2023-04-16T16:45:21,1681650921,"سلام لطفا سهم دکوثر را تحلیل می فرمائید.
",,سلام لطفا سهم <دکوثر> را تحلیل می‌فرمائید .,گروه هزار تحلیل
